t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
1.681230,0.464739,0.117755,0.284633,-1.259738,-0.790786,-2.493283
1.684420,0.464832,0.118048,0.284006,-1.259747,-0.793957,-2.492853
1.687421,0.464848,0.118331,0.283539,-1.263847,-0.799522,-2.490391
1.690792,0.464913,0.118722,0.283022,-1.264350,-0.803872,-2.489763
1.694299,0.465052,0.119629,0.282475,-1.258959,-0.809156,-2.484872
1.698093,0.465097,0.120629,0.281973,-1.255082,-0.810965,-2.481600
1.700544,0.465146,0.121560,0.281202,-1.257588,-0.811687,-2.476694
1.704704,0.465291,0.122555,0.280259,-1.256921,-0.807172,-2.474141
1.708309,0.465387,0.123537,0.279366,-1.258101,-0.805059,-2.469727
1.711235,0.465430,0.124321,0.278716,-1.256552,-0.800103,-2.470228
1.715062,0.465476,0.125021,0.278056,-1.257723,-0.794157,-2.470062
1.718077,0.465557,0.126204,0.277385,-1.254191,-0.786170,-2.465645
1.721428,0.465623,0.127242,0.276885,-1.251625,-0.784916,-2.457123
1.724245,0.465796,0.128305,0.276101,-1.250298,-0.791322,-2.455129
1.727608,0.465916,0.129308,0.275311,-1.247495,-0.784839,-2.450628
1.731287,0.466003,0.130365,0.274581,-1.249214,-0.782565,-2.444693
1.734069,0.466002,0.130780,0.274164,-1.251429,-0.782643,-2.448379
1.737440,0.465993,0.131193,0.273773,-1.248123,-0.782033,-2.454756
1.740431,0.465910,0.131689,0.273759,-1.244994,-0.778861,-2.457734
1.744140,0.465987,0.132466,0.273458,-1.245360,-0.778713,-2.457660
1.746979,0.466156,0.133287,0.273216,-1.237061,-0.775704,-2.460153
1.750510,0.466265,0.134284,0.272928,-1.235467,-0.764550,-2.459824
1.754857,0.466416,0.135356,0.272448,-1.232597,-0.764660,-2.456293
1.758168,0.466547,0.136191,0.271945,-1.229154,-0.756904,-2.451232
1.761533,0.466487,0.136355,0.271670,-1.233733,-0.762790,-2.453326
1.764628,0.466375,0.136344,0.271401,-1.239468,-0.773033,-2.455314
1.767813,0.466307,0.136221,0.271097,-1.241518,-0.790929,-2.455507
1.771352,0.466228,0.136170,0.271013,-1.244596,-0.797229,-2.459364
1.774336,0.466135,0.136173,0.270893,-1.247140,-0.805451,-2.463527
1.777535,0.466094,0.136505,0.270814,-1.247436,-0.804444,-2.465226
1.781389,0.466082,0.136973,0.270649,-1.247019,-0.801974,-2.464770
1.784997,0.466101,0.137375,0.270567,-1.247456,-0.801478,-2.464284
1.788105,0.466034,0.137657,0.270394,-1.252301,-0.803055,-2.463588
1.791382,0.465900,0.137981,0.270093,-1.257307,-0.802983,-2.460529
1.793870,0.465870,0.138482,0.269675,-1.257850,-0.805804,-2.459740
1.798354,0.465983,0.140025,0.269187,-1.250503,-0.800875,-2.458377
1.810882,0.465971,0.141613,0.268634,-1.246616,-0.796259,-2.455862
1.817125,0.466033,0.142914,0.267860,-1.246005,-0.793551,-2.451793
1.825456,0.466226,0.144204,0.267062,-1.241963,-0.794217,-2.453226
1.829960,0.466438,0.145511,0.266287,-1.237763,-0.793838,-2.452737
1.833144,0.466494,0.146028,0.265756,-1.238824,-0.799915,-2.452848
1.842137,0.466523,0.146774,0.264795,-1.241239,-0.805843,-2.451880
1.852294,0.466478,0.148267,0.263690,-1.241243,-0.806468,-2.451843
1.873663,0.466371,0.149850,0.262636,-1.242821,-0.809333,-2.446423
1.885452,0.466205,0.151298,0.261649,-1.245076,-0.809106,-2.442436
1.887613,0.465983,0.152469,0.260446,-1.252439,-0.808882,-2.439012
1.896590,0.465845,0.153746,0.259469,-1.251811,-0.813425,-2.432807
1.907468,0.465857,0.154832,0.258843,-1.252710,-0.811603,-2.431880
1.916769,0.465857,0.155906,0.258300,-1.246332,-0.813839,-2.426012
1.920204,0.465910,0.157309,0.257671,-1.240603,-0.821014,-2.418414
1.932578,0.466084,0.159496,0.256933,-1.234890,-0.829023,-2.411888
1.935278,0.466009,0.160156,0.256614,-1.231349,-0.829089,-2.411278
1.938929,0.465870,0.160645,0.256262,-1.228112,-0.831791,-2.408607
1.942218,0.465638,0.160629,0.255982,-1.226156,-0.823634,-2.417553
1.949287,0.465264,0.160532,0.255506,-1.231871,-0.823045,-2.418187
1.955774,0.465193,0.160701,0.254975,-1.233860,-0.823683,-2.417622
1.959132,0.465220,0.160916,0.254745,-1.233022,-0.829075,-2.415931
1.962547,0.465191,0.161214,0.254470,-1.231949,-0.836905,-2.412684
1.965904,0.465161,0.161517,0.254144,-1.238537,-0.844171,-2.404980
1.969070,0.465153,0.161655,0.254096,-1.236163,-0.845205,-2.405027
1.972505,0.465121,0.161717,0.254012,-1.236546,-0.845404,-2.404804
2.008747,0.463681,0.163309,0.250369,-1.250057,-0.819377,-2.408608
2.011569,0.463717,0.163458,0.250194,-1.248381,-0.813604,-2.409203
2.014667,0.463576,0.163503,0.249971,-1.243614,-0.809319,-2.405286
2.018348,0.463619,0.164052,0.249400,-1.244550,-0.808716,-2.404746
2.021626,0.463506,0.164214,0.248805,-1.240335,-0.801342,-2.401497
2.025730,0.463406,0.164483,0.248344,-1.244383,-0.797280,-2.401384
2.028772,0.463225,0.164284,0.247782,-1.242665,-0.803125,-2.400182
2.032081,0.463090,0.164178,0.247267,-1.252456,-0.805462,-2.403363
2.035387,0.462760,0.163640,0.246979,-1.256662,-0.803778,-2.403374
2.038453,0.462708,0.163931,0.246453,-1.261355,-0.809217,-2.399272
2.041875,0.462628,0.164164,0.245819,-1.258475,-0.808530,-2.393535
2.045101,0.462555,0.164792,0.245321,-1.262039,-0.801388,-2.387469
2.048459,0.462628,0.165536,0.244936,-1.254826,-0.798912,-2.380972
2.051743,0.462721,0.166286,0.244560,-1.246868,-0.794493,-2.373598
2.055585,0.462772,0.166676,0.244566,-1.240598,-0.790085,-2.373810
2.058391,0.462837,0.167013,0.244629,-1.221131,-0.784035,-2.380994
2.061966,0.462836,0.167026,0.244231,-1.228394,-0.785172,-2.384218
2.064961,0.462723,0.166788,0.243994,-1.234901,-0.785011,-2.381697
2.069249,0.462671,0.166949,0.243824,-1.232953,-0.783531,-2.384645
2.072547,0.462558,0.166987,0.243578,-1.234494,-0.783596,-2.383924
2.075894,0.462443,0.167048,0.243274,-1.258802,-0.788144,-2.374642
2.078885,0.462336,0.167095,0.243144,-1.246632,-0.784973,-2.372035
2.082261,0.462274,0.167260,0.242810,-1.244882,-0.784123,-2.374314
2.085386,0.462137,0.167009,0.242430,-1.251030,-0.784810,-2.371582
2.088746,0.462080,0.166547,0.242572,-1.252550,-0.792794,-2.374671
2.091581,0.462026,0.166063,0.242771,-1.244495,-0.799196,-2.379887
2.094932,0.462039,0.165862,0.243231,-1.249530,-0.804275,-2.384729
2.098884,0.462060,0.165600,0.243629,-1.247820,-0.809160,-2.390380
