t_sec,wall_time,trial_time,action,command,status,message
534.678757,1787193021.543976,6.399550,thumb_in,@ROG<11>&,error,source=10.12.194.1:50408; rpi_wall=1785025316.5921533; rpi_monotonic=873.712523936; [Errno 111] Connection refused
534.732056,1787193021.597275,6.452850,thumb_in,@ROG<11>&,error,source=10.12.194.1:47203; rpi_wall=1785025316.6449125; rpi_monotonic=873.765282686; [Errno 111] Connection refused
534.785666,1787193021.650885,6.506459,thumb_in,@ROG<11>&,error,source=10.12.194.1:46906; rpi_wall=1785025316.6978185; rpi_monotonic=873.818189197; [Errno 111] Connection refused
534.848939,1787193021.714158,6.569732,thumb_in,@ROG<11>&,error,source=10.12.194.1:35444; rpi_wall=1785025316.7510574; rpi_monotonic=873.871428103; [Errno 111] Connection refused
534.890392,1787193021.755611,6.611186,thumb_in,@ROG<11>&,error,source=10.12.194.1:44600; rpi_wall=1785025316.8037345; rpi_monotonic=873.924104822; [Errno 111] Connection refused
534.943312,1787193021.808530,6.664105,thumb_in,@ROG<11>&,error,source=10.12.194.1:42424; rpi_wall=1785025316.856691; rpi_monotonic=873.977061644; [Errno 111] Connection refused
534.996814,1787193021.862032,6.717607,thumb_in,@ROG<11>&,error,source=10.12.194.1:48113; rpi_wall=1785025316.910178; rpi_monotonic=874.03054904; [Errno 111] Connection refused
535.049976,1787193021.915195,6.770770,thumb_in,@ROG<11>&,error,source=10.12.194.1:47904; rpi_wall=1785025316.9631374; rpi_monotonic=874.08350779; [Errno 111] Connection refused
535.103238,1787193021.968457,6.824032,thumb_in,@ROG<11>&,error,source=10.12.194.1:58321; rpi_wall=1785025317.0165832; rpi_monotonic=874.13695378; [Errno 111] Connection refused
535.157760,1787193022.022979,6.878554,thumb_in,@ROG<11>&,error,source=10.12.194.1:42486; rpi_wall=1785025317.0693119; rpi_monotonic=874.189682686; [Errno 111] Connection refused
535.209228,1787193022.074447,6.930022,thumb_in,@ROG<11>&,error,source=10.12.194.1:57920; rpi_wall=1785025317.122404; rpi_monotonic=874.242774821; [Errno 111] Connection refused
535.263215,1787193022.128433,6.984008,thumb_in,@ROG<11>&,error,source=10.12.194.1:34119; rpi_wall=1785025317.1756287; rpi_monotonic=874.295998988; [Errno 111] Connection refused
535.315721,1787193022.180939,7.036514,thumb_in,@ROG<11>&,error,source=10.12.194.1:53189; rpi_wall=1785025317.2283983; rpi_monotonic=874.34876878; [Errno 111] Connection refused
535.368923,1787193022.234142,7.089716,thumb_in,@ROG<11>&,error,source=10.12.194.1:51792; rpi_wall=1785025317.2815244; rpi_monotonic=874.401897061; [Errno 111] Connection refused
535.422567,1787193022.287786,7.143361,thumb_in,@ROG<11>&,error,source=10.12.194.1:59458; rpi_wall=1785025317.3354065; rpi_monotonic=874.455777217; [Errno 111] Connection refused
535.474776,1787193022.339994,7.195569,thumb_in,@ROG<11>&,error,source=10.12.194.1:48575; rpi_wall=1785025317.38817; rpi_monotonic=874.508540603; [Errno 111] Connection refused
535.527606,1787193022.392825,7.248400,thumb_in,@ROG<11>&,error,source=10.12.194.1:48973; rpi_wall=1785025317.4409983; rpi_monotonic=874.561369092; [Errno 111] Connection refused
535.588538,1787193022.453757,7.309331,thumb_in,@ROG<11>&,error,source=10.12.194.1:34195; rpi_wall=1785025317.4938636; rpi_monotonic=874.614234405; [Errno 111] Connection refused
535.634154,1787193022.499372,7.354947,thumb_in,@ROG<11>&,error,source=10.12.194.1:57925; rpi_wall=1785025317.5473032; rpi_monotonic=874.667673415; [Errno 111] Connection refused
535.686922,1787193022.552141,7.407716,thumb_in,@ROG<11>&,error,source=10.12.194.1:49798; rpi_wall=1785025317.6003108; rpi_monotonic=874.720682009; [Errno 111] Connection refused
535.740269,1787193022.605488,7.461063,thumb_in,@ROG<11>&,error,source=10.12.194.1:38056; rpi_wall=1785025317.6536775; rpi_monotonic=874.774048467; [Errno 111] Connection refused
535.793005,1787193022.658223,7.513798,thumb_in,@ROG<11>&,error,source=10.12.194.1:45307; rpi_wall=1785025317.7064009; rpi_monotonic=874.826771592; [Errno 111] Connection refused
535.846037,1787193022.711256,7.566831,thumb_in,@ROG<11>&,error,source=10.12.194.1:55429; rpi_wall=1785025317.759386; rpi_monotonic=874.879756748; [Errno 111] Connection refused
535.900186,1787193022.765404,7.620979,thumb_in,@ROG<11>&,error,source=10.12.194.1:34295; rpi_wall=1785025317.8126943; rpi_monotonic=874.933064509; [Errno 111] Connection refused
535.959378,1787193022.824596,7.680171,thumb_in,@ROG<11>&,error,source=10.12.194.1:56098; rpi_wall=1785025317.8654308; rpi_monotonic=874.985801592; [Errno 111] Connection refused
536.004989,1787193022.870207,7.725782,thumb_in,@ROG<11>&,error,source=10.12.194.1:39960; rpi_wall=1785025317.9182093; rpi_monotonic=875.038579977; [Errno 111] Connection refused
536.057724,1787193022.922943,7.778518,thumb_in,@ROG<11>&,error,source=10.12.194.1:33216; rpi_wall=1785025317.9711568; rpi_monotonic=875.091527165; [Errno 111] Connection refused
536.110676,1787193022.975895,7.831470,thumb_in,@ROG<11>&,error,source=10.12.194.1:33066; rpi_wall=1785025318.0240612; rpi_monotonic=875.144431956; [Errno 111] Connection refused
536.164050,1787193023.029269,7.884844,thumb_in,@ROG<11>&,error,source=10.12.194.1:56437; rpi_wall=1785025318.0774415; rpi_monotonic=875.197812634; [Errno 111] Connection refused
536.217106,1787193023.082325,7.937900,thumb_in,@ROG<11>&,error,source=10.12.194.1:39698; rpi_wall=1785025318.1304834; rpi_monotonic=875.250854456; [Errno 111] Connection refused
536.270638,1787193023.135857,7.991432,thumb_in,@ROG<11>&,error,source=10.12.194.1:48800; rpi_wall=1785025318.1838467; rpi_monotonic=875.304217686; [Errno 111] Connection refused
